Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
21-Apr-11,5882.85,5912.9,5864.35,5884.7,119753918,7240.13
25-Apr-11,5859.6,5906.6,5857,5874.5,94377009,5323.17
26-Apr-11,5876.85,5893.2,5791.55,5868.4,117166769,6155.73
27-Apr-11,5884.2,5892.35,5819.95,5833.9,108740523,5893.38
28-Apr-11,5851.35,5856.4,5776.95,5785.45,159344933,8773.7
29-Apr-11,5782.5,5804.3,5706.05,5749.5,184751755,7259
02-May-11,5766.9,5775.25,5687.7,5701.3,86514383,4614.18
03-May-11,5689.7,5710.8,5554.85,5565.25,125522829,7457
04-May-11,5567.7,5578.8,5503,5537.15,119083244,6150.25
05-May-11,5531.6,5560.3,5443.65,5459.85,126424541,5953.85
06-May-11,5477.65,5564.4,5472.45,5551.45,122684321,5969.39
09-May-11,5575.2,5586.05,5502.4,5551.1,75438946,3387.89
10-May-11,5555.55,5592.9,5514.55,5541.25,88822800,3931.01
11-May-11,5547.2,5574.7,5525,5565.05,82509136,4309.88
12-May-11,5537.8,5572.5,5476.3,5486.15,91624740,4342.75
13-May-11,5492.35,5605,5472.15,5544.75,119423852,5690.93
16-May-11,5541.7,5541.8,5487.65,5499,94219161,4343.66
17-May-11,5496.1,5523.85,5421.05,5438.95,109199263,6356.9
18-May-11,5448.2,5460.5,5401.25,5420.6,107357672,6250.15
19-May-11,5448.15,5452.6,5411.25,5428.1,94180687,5509.73
20-May-11,5450.65,5517.55,5432.75,5486.35,127399855,5791.89
23-May-11,5456.7,5456.7,5373,5386.55,94674110,5037.85
24-May-11,5385.1,5422.6,5367.45,5394.85,100052471,4819.47
25-May-11,5389.1,5389.1,5328.7,5348.95,99917758,5133.01
26-May-11,5372.75,5422.2,5356.35,5412.35,161608076,7601.74
27-May-11,5413.7,5485.8,5413.6,5476.1,117233303,5553.69
30-May-11,5493.75,5509.3,5458.6,5473.1,100764849,4451.38
31-May-11,5492,5571.6,5489.7,5560.15,149409715,6946.23
01-Jun-11,5561.05,5597.35,5559.45,5592,98629277,4670.86
02-Jun-11,5529.9,5568.2,5521.95,5550.35,110949186,4709.42
03-Jun-11,5565.7,5604.95,5507.2,5516.75,101017578,4757.1
06-Jun-11,5504.3,5542.65,5479.85,5532.05,77137320,3486.68
07-Jun-11,5509.15,5570.1,5507.8,5556.15,81858402,3830.7
08-Jun-11,5535.25,5556.6,5514.9,5526.85,92928675,3869.33
09-Jun-11,5523.55,5540.1,5502.05,5521.05,87033655,3859.17
10-Jun-11,5518.05,5521.45,5457.45,5485.8,84190282,3995.15
13-Jun-11,5469.85,5496.7,5436.95,5482.8,80104906,3807.22
14-Jun-11,5485.6,5520.15,5484.2,5500.5,97840485,4714.26
15-Jun-11,5494.45,5499.35,5438.95,5447.5,95878889,4562.47
16-Jun-11,5419.65,5447.5,5389.8,5396.75,128063494,5341.03
17-Jun-11,5412.5,5421.15,5355.85,5366.4,97876272,4480.59
20-Jun-11,5372.2,5377.4,5195.9,5257.9,135334880,5956.17
21-Jun-11,5280.8,5322.45,5257,5275.85,107191673,4765.02
22-Jun-11,5304.65,5310.5,5262.5,5278.3,95769497,4151.39
23-Jun-11,5269.1,5330.6,5252.25,5320,89001344,3756.75
24-Jun-11,5343.4,5477.85,5343.4,5471.25,140100077,6791.8
27-Jun-11,5441.2,5552.65,5434.25,5526.6,143402407,6707.54
28-Jun-11,5548.85,5558.3,5496.35,5545.3,114413706,5127.85
29-Jun-11,5566.5,5608.65,5566.5,5600.45,124593981,5463.96
30-Jun-11,5614.5,5657.9,5606.1,5647.4,179224275,8133.27
01-Jul-11,5705.75,5705.8,5609.75,5627.2,141092473,5590.28
04-Jul-11,5679.55,5679.65,5633.1,5650.5,103528865,4266.62
05-Jul-11,5659.85,5659.85,5612.3,5632.1,100776400,4938.19
06-Jul-11,5622.7,5655.4,5610.75,5625.45,86109914,4239.98
07-Jul-11,5633.35,5737.15,5632.95,5728.95,112220298,5439.55
08-Jul-11,5734.65,5740.4,5651.05,5660.65,129276449,5659.53
11-Jul-11,5648.05,5652.9,5601.7,5616.1,78899703,3579.63
12-Jul-11,5556.9,5580.25,5496.95,5526.15,104907108,5294.13
13-Jul-11,5542.05,5596.15,5541.4,5585.45,106019573,4702.05
14-Jul-11,5569,5653.95,5541.7,5599.8,123015471,5390.44
15-Jul-11,5602.95,5631.7,5562.75,5581.1,80426784,3668.42
18-Jul-11,5581.75,5596.6,5550.95,5567.05,73604991,3305.34
19-Jul-11,5569.85,5627.65,5557.2,5613.55,86555649,3983.28
20-Jul-11,5642.05,5645.4,5555.1,5567.05,87093214,3825.45
21-Jul-11,5554.6,5578.9,5532.7,5541.6,76327640,3681.07
22-Jul-11,5576.95,5642.2,5567.1,5633.95,106781617,5040.43
25-Jul-11,5633.8,5700.55,5616.7,5680.3,142008190,5622.44
26-Jul-11,5688.45,5702.25,5560.15,5574.85,134108563,6270.33
27-Jul-11,5588.55,5591.7,5521.5,5546.8,122321153,5358.36
28-Jul-11,5492.4,5512.1,5475.65,5487.75,164522151,6883.18
29-Jul-11,5479,5520.3,5453.95,5482,156128914,5901.53
01-Aug-11,5527.5,5551.9,5486.45,5516.8,98962726,4048.98
02-Aug-11,5493.2,5496.3,5433.65,5456.55,110372244,4236.41
03-Aug-11,5402,5422.6,5378.85,5404.8,133223864,5339.25
04-Aug-11,5412.4,5434.5,5323.15,5331.8,118482440,4820.07
05-Aug-11,5204.35,5229.65,5116.45,5211.25,196016865,7543.44
08-Aug-11,5083.85,5204.2,5054.05,5118.5,188307028,7326.93
09-Aug-11,4947.9,5167,4946.45,5072.85,233869015,9385.01
10-Aug-11,5196.55,5197.95,5123.35,5161,158404456,6289.41
11-Aug-11,5128,5184.95,5121,5138.3,113043482,4723.01
12-Aug-11,5194.4,5194.45,5053.35,5072.95,128834807,5909.91
16-Aug-11,5125.75,5132.2,5015.4,5035.8,130896704,5081.61
17-Aug-11,5030.3,5112.15,5017.25,5056.6,143342008,5472.63
18-Aug-11,5077.95,5078.6,4932.15,4944.15,139816131,5686.22
19-Aug-11,4859.3,4893.6,4796.1,4845.65,166702431,7317.33
22-Aug-11,4843.7,4910.05,4808.75,4898.8,123813921,5186.04
23-Aug-11,4925.15,4965.8,4863.8,4948.9,130010440,5519.36
24-Aug-11,4934.35,4962.4,4875.3,4888.9,129410652,5241.5
25-Aug-11,4914.65,4915.85,4825.05,4839.6,184913414,7921.11
26-Aug-11,4839.25,4872,4720,4747.8,149717732,5850.84
29-Aug-11,4806.2,4934.4,4806.05,4919.6,145125304,5576.71
30-Aug-11,4973.25,5016.25,4927.55,5001,181539730,7051.77
02-Sep-11,5109.8,5113.7,4993.35,5040,195055967,7689.7
05-Sep-11,4998.9,5030.3,4964.45,5017.2,162898218,6359.59
06-Sep-11,4993.35,5072.9,4942.9,5064.3,183680006,7278
07-Sep-11,5080.15,5154.5,5076.3,5124.65,193856202,6883.16
08-Sep-11,5139.2,5169.25,5098.25,5153.25,140855342,6093.78
09-Sep-11,5161.3,5163.75,5046.8,5059.45,158713071,6482.27
12-Sep-11,4981.7,4985.6,4911.25,4946.8,135500219,5175.51
13-Sep-11,4977.8,5030.15,4911.05,4940.95,146005268,5305.87
14-Sep-11,4965.05,5026.15,4917.4,5012.55,154276761,6416.57
15-Sep-11,5062.35,5091.45,4967.45,5075.7,153648925,5935.88
16-Sep-11,5123.35,5143.6,5068.1,5084.25,225187238,8379.56
19-Sep-11,5068.4,5068.4,5019.25,5031.95,115737842,4042.27
20-Sep-11,5042.55,5149.9,5035.25,5140.2,146599496,5504.69
21-Sep-11,5153.75,5168.4,5109.85,5133.25,132918171,5142.01
22-Sep-11,5054.45,5059.85,4907.75,4923.65,147608376,5675.35
23-Sep-11,4873.75,4930.25,4829.6,4867.75,205769423,7364.65
26-Sep-11,4878.6,4879.8,4758.85,4835.4,156079487,5475.64
27-Sep-11,4905.15,4982.95,4905.15,4971.25,151313966,5284.66
28-Sep-11,5005.5,5006.05,4918.45,4945.9,166872414,6078.49
29-Sep-11,4924.2,5034.25,4906,5015.45,216156088,8284.97
30-Sep-11,4990.15,5025.55,4924.3,4943.25,201962105,6764.12
03-Oct-11,4874.4,4879.15,4823.9,4849.5,148921569,5230.17
04-Oct-11,4823.5,4869.75,4728.3,4772.15,184413296,6736.87
05-Oct-11,4791.3,4827.8,4741,4751.3,179140481,6385.35
07-Oct-11,4883.65,4922.6,4861.2,4888.05,198288782,6914.62
10-Oct-11,4886.85,4991.15,4882.05,4979.6,188839545,6247.21
11-Oct-11,5019.9,5045.1,4964,4974.35,182038763,6386.8
12-Oct-11,5011.2,5109.8,4997.65,5099.4,188008562,7528.09
13-Oct-11,5130.8,5136.95,5067.65,5077.85,157302816,6319.82
14-Oct-11,5057.35,5141.4,5056.6,5132.3,157781872,6140.27
17-Oct-11,5156.2,5160.2,5084.5,5118.25,130460983,5029.13
18-Oct-11,5049.45,5057.5,5011.05,5037.5,125550565,5148.86
19-Oct-11,5080.45,5148.05,5075.3,5139.15,117468754,4776.09
20-Oct-11,5086.55,5099,5033.95,5091.9,119333986,4582.47
21-Oct-11,5106.6,5120.75,5037.95,5049.95,109893599,4733.71
24-Oct-11,5114.7,5145.65,5084.75,5098.35,126073195,4927.43
25-Oct-11,5137.9,5211,5085.55,5191.6,221084588,9967.24
26-Oct-11,5214.95,5219.25,5196.15,5201.8,27496887,1059.46
28-Oct-11,5341.9,5399.7,5322.8,5360.7,246078412,9151.2
31-Oct-11,5358.9,5360.25,5314.6,5326.6,149483502,5937.99
01-Nov-11,5278.6,5310.85,5238.3,5257.95,152491922,5651.67
02-Nov-11,5216.75,5300.1,5204.95,5258.45,144375106,4918.34
03-Nov-11,5241.55,5281.6,5201.85,5265.75,160282802,5716.17
04-Nov-11,5325.4,5326.45,5256.8,5284.2,149015829,5401.13
08-Nov-11,5292.25,5304.25,5252,5289.35,120652007,4159.75
09-Nov-11,5309.7,5317.5,5211.75,5221.05,146428609,6720.83
11-Nov-11,5159.75,5198.6,5142.25,5168.85,168514208,6929.85
14-Nov-11,5217.35,5228.9,5140.55,5148.35,134448100,5263.81
15-Nov-11,5131.2,5158.75,5052.85,5068.5,149592578,5201.21
16-Nov-11,5059.1,5065.2,4989.5,5030.45,161406885,5757.81
17-Nov-11,5027.1,5036.8,4919.45,4934.75,149238976,5277.65
18-Nov-11,4899.15,4915.9,4837.95,4905.8,192274363,6481.17
21-Nov-11,4873.8,4873.8,4764.8,4778.35,154119333,5509.53
22-Nov-11,4794.85,4854,4782.55,4812.35,174212435,6275.86
23-Nov-11,4779.5,4779.5,4640.95,4706.45,178819371,6199.31
24-Nov-11,4707.55,4771.1,4639.1,4756.45,213363083,7327.52
25-Nov-11,4731.3,4767.3,4693.1,4710.05,162839558,5812.61
28-Nov-11,4769.3,4859.1,4766.4,4851.3,145259101,4869.41
29-Nov-11,4864.2,4866.1,4787.1,4805.1,155570321,5786.83
30-Nov-11,4766.15,4851.55,4754.8,4832.05,282217865,11393.19
01-Dec-11,4970.85,5011.9,4916.7,4936.85,183915785,6699.33
02-Dec-11,4940.85,5062.55,4918.4,5050.15,180190935,6527.43
05-Dec-11,5036.5,5055.4,5002.55,5039.15,137254409,4689.58
07-Dec-11,5050.1,5099.25,5032.25,5062.6,169428273,6005.21
08-Dec-11,5037.4,5049.05,4921.45,4943.65,178853365,6029.68
09-Dec-11,4870.75,4918.35,4841.75,4866.7,173612823,6040.22
12-Dec-11,4906.85,4910.25,4755.55,4764.6,178338170,5926
13-Dec-11,4733.6,4824.7,4728.5,4800.6,181043707,5816.38
14-Dec-11,4788.7,4839.55,4750.4,4763.25,176252160,6324.86
15-Dec-11,4712.8,4768.65,4673.85,4746.35,200317864,6976.68
16-Dec-11,4752.5,4818.85,4628.2,4651.6,202060039,7284.93
19-Dec-11,4623.15,4623.15,4555.9,4613.1,176447660,6302.29
20-Dec-11,4635.8,4637.25,4531.15,4544.2,195304596,6279.01
21-Dec-11,4636.45,4707.35,4601.95,4693.15,211310871,6689.82
22-Dec-11,4636.9,4740.6,4632.95,4733.85,170789015,6017
23-Dec-11,4763.2,4763.45,4693.2,4714,141982548,4676.75
26-Dec-11,4718.15,4787.25,4718.15,4779,90847991,3034.39
27-Dec-11,4780.2,4800.5,4723.65,4750.5,104828343,3342.15
28-Dec-11,4756.2,4756.2,4685.65,4705.8,117463489,3657.52
29-Dec-11,4681.15,4701.8,4639.05,4646.25,146003804,5137.28
30-Dec-11,4659.95,4690.45,4608.9,4624.3,113900727,3785.33
02-Jan-12,4640.2,4645.95,4588.05,4636.75,108460668,3590.96
03-Jan-12,4675.8,4773.1,4675.8,4765.3,146621115,5021.29
04-Jan-12,4774.95,4782.85,4728.85,4749.65,165938849,5661.16
05-Jan-12,4749,4779.8,4730.15,4749.95,177862936,5873.79
06-Jan-12,4724.15,4794.9,4686.85,4754.1,176057282,5234.69
07-Jan-12,4755.6,4759.4,4743.05,4746.9,18783880,414.88
09-Jan-12,4747.55,4758.7,4695.45,4742.8,147534537,4548.3
10-Jan-12,4771.85,4855.9,4768.25,4849.55,201661174,6222.27
11-Jan-12,4863.15,4877.2,4841.6,4860.95,209079758,6364
12-Jan-12,4840.95,4869.2,4803.9,4831.25,183068697,7271.44
13-Jan-12,4861.95,4898.85,4834.2,4866,230940604,7117.5
16-Jan-12,4844,4880.8,4827.05,4873.9,160479891,5297.89
17-Jan-12,4904.5,4975.55,4904,4967.3,223004183,7170.72
18-Jan-12,4977.75,4980.65,4931.05,4955.8,211198796,7424.79
19-Jan-12,4995,5023.8,4991.4,5018.4,203487608,6634.33
20-Jan-12,5044.85,5064.15,5004.3,5048.6,221048007,8120.35
23-Jan-12,5025.35,5059.55,5021.35,5046.25,158177571,5934.04
24-Jan-12,5064.8,5141.05,5049.8,5127.35,202006565,8172.43
25-Jan-12,5151.5,5174.15,5130.25,5158.3,219175709,8156.04
27-Jan-12,5216.75,5217,5162.4,5204.7,215923377,7881.15
30-Jan-12,5163.55,5166.15,5076.7,5087.3,181141437,6181.32
31-Jan-12,5125.25,5215.4,5120.15,5199.25,215770719,8075.54
01-Feb-12,5198.15,5244.6,5159,5235.7,234899358,8066.68
02-Feb-12,5272.1,5289.95,5225.75,5269.9,337960651,11126.39
03-Feb-12,5276.1,5334.85,5255.55,5325.85,217358188,7573.02
06-Feb-12,5379.45,5390.05,5327.25,5361.65,215080487,7703.06
07-Feb-12,5412.95,5413.35,5322.95,5335.15,181194561,6797.14
08-Feb-12,5343.8,5396.9,5325.2,5368.15,236135416,9359.98
09-Feb-12,5343.05,5423.4,5338.9,5412.35,255306965,8143.96
10-Feb-12,5399.8,5427.75,5341.05,5381.6,225352093,7396.34
13-Feb-12,5382.1,5421.05,5351.4,5390.2,181561910,6738
14-Feb-12,5380.8,5428.05,5377.95,5416.05,201409996,6693.43
15-Feb-12,5460.6,5542.1,5460.6,5531.95,314366096,9958.28
16-Feb-12,5513.75,5531.4,5483.75,5521.95,270060477,9053.45
17-Feb-12,5574.2,5606.7,5545.2,5564.3,329307516,11512.01
21-Feb-12,5561.9,5621.5,5561.75,5607.15,231132126,8169.38
22-Feb-12,5609.75,5629.95,5491.35,5505.35,263013427,9694.44
23-Feb-12,5490.05,5537.4,5460.8,5483.3,307246519,9987.65
24-Feb-12,5479.15,5521.4,5405.9,5429.3,364660634,17356.76
27-Feb-12,5448.1,5449.8,5268.15,5281.2,235318961,7706.81
28-Feb-12,5310.5,5391.1,5306.45,5375.5,208133889,7815.9
29-Feb-12,5424.95,5458.8,5352.25,5385.2,226022232,8454.41
01-Mar-12,5366,5372.45,5297.5,5339.75,196867905,6847.63
02-Mar-12,5369.45,5392.55,5315.05,5359.35,185021526,6768.52
03-Mar-12,5360.05,5369.6,5353.4,5359.4,16770991,429.35
05-Mar-12,5342.55,5344.5,5265.7,5280.35,196421155,6036.63
06-Mar-12,5266,5382.05,5206.4,5222.4,290396014,9319.01
07-Mar-12,5207.05,5243.85,5171.45,5220.45,230726017,7173.14
09-Mar-12,5294.1,5342.3,5291.6,5333.55,203005845,7080.66
12-Mar-12,5420.1,5421.9,5327.3,5359.55,176668237,6484.38
13-Mar-12,5391.05,5438.65,5390.8,5429.5,179965296,5907.14
14-Mar-12,5490.55,5499.4,5437.8,5463.9,181714070,7345.67
15-Mar-12,5462.5,5462.5,5362.3,5380.5,160257651,5961.15
16-Mar-12,5380.35,5445.65,5305,5317.9,267521147,9432.07
19-Mar-12,5337.35,5340.7,5238.55,5257.05,179877454,6275.89
20-Mar-12,5257.15,5297.35,5233.25,5274.85,181345285,6158
21-Mar-12,5267.2,5372.35,5256,5364.95,199787985,6807.02
22-Mar-12,5361.1,5385.95,5205.65,5228.45,205581062,7359.89
23-Mar-12,5255.65,5312,5220,5278.2,172738574,6371.46
26-Mar-12,5274.35,5274.95,5174.9,5184.25,169785835,5582.28
27-Mar-12,5242.95,5277.95,5184.65,5243.15,208775421,7445.92
28-Mar-12,5231.7,5236.55,5169.6,5194.75,145803597,5411.63
29-Mar-12,5145.95,5194.3,5135.95,5178.85,242557889,8632.05
30-Mar-12,5206.6,5307.1,5203.65,5295.55,164790056,6082.93
02-Apr-12,5296.35,5331.55,5278.8,5317.9,134538287,4583.68
03-Apr-12,5353.2,5378.75,5344.45,5358.5,152496489,5256.86
04-Apr-12,5328.65,5338.4,5305.3,5322.9,122106162,4084.37
09-Apr-12,5282.5,5287.9,5228,5234.4,111914936,3680.04
10-Apr-12,5254.1,5255.8,5211.85,5243.6,156106794,4886.48
11-Apr-12,5209.45,5263.65,5190.8,5226.85,167013527,5585.7
12-Apr-12,5246.75,5290.6,5246.75,5276.85,152684788,5457.29
13-Apr-12,5255.7,5306.75,5185.4,5207.45,164225858,7989.27
16-Apr-12,5190.6,5233.5,5183.5,5226.2,119730347,5165.7
17-Apr-12,5266.6,5298.2,5208.35,5289.7,178895417,7416.66
18-Apr-12,5320.7,5342,5293.45,5300,152743439,5665.77
19-Apr-12,5320.6,5342.45,5291.3,5332.4,133549895,5313.33
20-Apr-12,5313.95,5336.15,5245.45,5290.85,135252751,5086.54
23-Apr-12,5277.4,5310.55,5187.15,5200.6,138042341,5065.27
24-Apr-12,5215.9,5232.35,5180.35,5222.65,155674654,7362.66
25-Apr-12,5222.2,5236.1,5160.65,5202,142910739,5968.34
26-Apr-12,5214.75,5215.6,5179.05,5189,185899437,6408.49
27-Apr-12,5189,5223.05,5154.3,5190.6,128759445,5734.59
28-Apr-12,5209.6,5216.4,5196.35,5209,6555703,297.89
30-Apr-12,5201.45,5262.15,5201.45,5248.15,108138550,4610.4
02-May-12,5254.3,5279.6,5226.45,5239.15,119333288,4815.08
03-May-12,5211.2,5217.3,5180.65,5188.4,118573998,5488.9
04-May-12,5166.65,5177.2,5070.6,5086.85,153304687,6507.5
07-May-12,5017.8,5124.75,4988,5114.15,168271798,6787.08
08-May-12,5114.7,5119.95,4983.6,4999.95,164262546,6233.26
09-May-12,4967.9,5016.25,4956.45,4974.8,180441209,6558.78
10-May-12,4984.15,5039.3,4950.3,4965.7,141031231,5430.14
11-May-12,4938.85,4976.25,4906.15,4928.9,138526070,5061.57
14-May-12,4934.35,4957.2,4874.5,4907.8,126951751,5291.93
15-May-12,4869.85,4955.2,4868.55,4942.8,142119571,5491.24
16-May-12,4875.3,4882.25,4837.05,4858.25,165048505,6316.66
17-May-12,4878.6,4922.25,4850.2,4870.2,155654031,5745.51
18-May-12,4796.4,4908.5,4788.95,4891.45,154508649,6447.08
21-May-12,4888.5,4937.5,4888.5,4906.05,116506971,4527.67
22-May-12,4954.7,4956.35,4849.9,4860.5,130808278,5074.37
23-May-12,4843,4853.75,4803.95,4835.65,136108067,4854.15
24-May-12,4863.4,4931.9,4830.15,4921.4,140474832,5012.08
25-May-12,4905.95,4935.8,4889.35,4920.4,118191157,4398.09
28-May-12,4931.7,4994.95,4931.3,4985.65,97260991,3983.53
29-May-12,5005.35,5020.15,4982.15,4990.1,124219839,4923.56
30-May-12,4964.25,4982.25,4944.9,4950.75,146005250,5374.65
31-May-12,4896.1,4949.25,4883.55,4924.25,296911390,10662.01
01-Jun-12,4910.85,4925,4831.75,4841.6,138767416,4989.22
04-Jun-12,4797.3,4858.3,4770.35,4848.15,152339865,5143.54
05-Jun-12,4869.45,4898.95,4847.7,4863.3,141476962,5016.41
06-Jun-12,4886.65,5010.45,4886.15,4997.1,185340406,7188.42
07-Jun-12,5035.35,5059.65,5007.75,5049.65,150558164,6077.37
08-Jun-12,5044.25,5084.45,4994.8,5068.35,138389395,5249.81
11-Jun-12,5096.7,5124.45,5040.7,5054.1,125615102,4813.82
12-Jun-12,5015.5,5128.9,5015.15,5115.9,135478015,5205.9
13-Jun-12,5117.55,5144.9,5095.45,5121.45,125668126,5287.08
14-Jun-12,5105.1,5130,5047.6,5054.75,118353366,4751.86
15-Jun-12,5069.55,5146.2,5069.15,5139.05,155437144,5944
18-Jun-12,5174,5190.2,5041.7,5064.25,153461067,6005.83
19-Jun-12,5050.8,5113.6,5048.1,5103.85,149416155,5336.22
20-Jun-12,5114.55,5141.7,5100.7,5120.55,160505645,5313.6
21-Jun-12,5097.35,5170.4,5093.45,5165,142992948,5558.56
22-Jun-12,5101.75,5159.8,5094,5146.05,159747192,5500.44
25-Jun-12,5158.5,5194.6,5105.65,5114.65,123503010,4894.04
26-Jun-12,5107.45,5134.55,5095.5,5120.8,99404566,4119.69
27-Jun-12,5149.45,5160.1,5129.25,5141.9,112269218,4238.62
28-Jun-12,5148.95,5159.05,5125.3,5149.15,143073791,5597.52
29-Jun-12,5191.25,5286.25,5189,5278.9,226523598,8461.24
02-Jul-12,5283.85,5302.15,5263.35,5278.6,126161441,4991.57
03-Jul-12,5298.85,5317,5265.95,5287.95,133117055,5161.82
04-Jul-12,5310.4,5317.65,5273.3,5302.55,155995887,5750.1
05-Jul-12,5297.05,5333.65,5288.85,5327.3,118915392,4709.79
06-Jul-12,5324.7,5327.2,5287.75,5316.95,113300726,4760.51
09-Jul-12,5283.7,5300.6,5257.75,5275.15,101169926,4189.25
10-Jul-12,5286.6,5348.55,5284.55,5345.35,123947633,5024.13
11-Jul-12,5315.25,5336.45,5300.25,5306.3,113530679,5086.98
12-Jul-12,5240,5261.75,5217.7,5235.25,131190833,6193.59
13-Jul-12,5242.75,5267.15,5216.85,5227.25,99045088,4451.9
